SMILES,HeavyAtoms,NumBonds,NumRings,MW
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCc1ccncc1)c64)C(=O)N(CCc1ccncc1)C5=O,46,54,9,600.6340000000002
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccncc1)c64)C(=O)N(c1ccncc1)C5=O,42,50,9,544.5260000000002
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C5=O,70,76,7,951.4339999999988
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4c(N5CCCC5)cc5c6c(ccc(c7c(N8CCCC8)cc(c2c37)C1=O)c64)C(=O)N(c1c(C(C)C)cccc1C(C)C)C5=O,64,74,11,849.0879999999994
CCCCCCCCN1C(=O)c2ccc3c4c(C#N)cc5c6c(cc(C#N)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O,50,56,7,664.8059999999998
CCCCCCCCN1C(=O)c2ccc3c4c(C#N)cc5c6c(ccc(c7c(C#N)cc(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O,50,56,7,664.8059999999999
CCN(CC)CCc1c2c3c(ccc4c5ccc6c7c(ccc(c(c1CCN(CC)CC)c34)c75)C(=O)NC6=O)C(=O)NC2=O,44,50,7,588.7080000000004
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccccn1)c64)C(=O)N(c1ccccn1)C5=O,42,50,9,544.5260000000003
CCCOCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCOCCC)C5=O,42,48,7,562.6220000000003
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCCc1ccccc1)c64)C(=O)N(CCCc1ccccc1)C5=O,48,56,9,626.7120000000003
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c6c(ccc(c7c(Oc8ccc(C(C)(C)C)cc8)cc(c2c37)C1=O)c64)C(=O)N(c1c(C(C)C)cccc1C(C)C)C5=O,76,86,11,1007.2839999999998
CN(C)CCCNCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCNCCCN(C)C)C5=O,50,56,7,674.8459999999998
CCCCCCCCN1C(=O)c2c(-c3ccccc3)cc3c4cc(-c5ccccc5)c5c6c(c(-c7ccccc7)cc(c7cc(-c8ccccc8)c(c2c37)C1=O)c64)C(=O)N(CCCCCCCC)C5=O,70,80,11,919.1780000000003
COCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCOC)C5=O,40,46,7,534.5680000000004
Cc1cc(C)c(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2c(C)cc(C)cc2C)C6=O)c(C)c1,48,56,9,626.7120000000001
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(Nc2ccccc2)cc1)c64)C(=O)N(c1ccc(Nc2ccccc2)cc1)C5=O,56,66,11,724.7760000000002
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCO)c64)C(=O)N(CCO)C5=O,36,42,7,478.4600000000003
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1C1CCCCC1)c64)C(=O)N(C1CCCCC1)C5=O,42,50,9,554.6460000000003
CC(C)(C)c1ccc(C(C)(C)C)c(N2C(=O)c3ccc4c5ccc6c7c(cc([N+](=O)[O-])c(c8ccc(c3c48)C2=O)c75)C(=O)N(c2cc(C(C)(C)C)ccc2C(C)(C)C)C6=O)c1,61,69,9,811.9789999999999
CCCCC(CCCC)N1C(=O)c2ccc3c4ccc5c6c(cc([N+](=O)[O-])c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCC)CCCC)C5=O,51,57,7,687.8369999999999
CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4ccc5c6c(cc([N+](=O)[O-])c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCC)CCCCCC)C5=O,59,65,7,800.0529999999994
CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4ccc5c6c(cc(N(C)C)c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCC)CCCCCC)C5=O,59,65,7,798.1249999999993
C=CCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC=C)C5=O,36,42,7,470.4840000000003
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1C1CCCC1)c64)C(=O)N(C1CCCC1)C5=O,40,48,9,526.5920000000004
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1C1CCCCCCCCCCC1)c64)C(=O)N(C1CCCCCCCCCCC1)C5=O,54,62,9,722.9699999999995
CCCC(CCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCC)CCC)C5=O,44,50,7,586.7320000000002
CCCCC(CCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCC)CCCC)C5=O,48,54,7,642.8399999999998
CCCCCC(CCCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCC)CCCCC)C5=O,52,58,7,698.9479999999996
CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4ccc5c6c(cc(OC)c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCC)CCCCCC)C5=O,58,64,7,785.0819999999994
CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4cc(N5CCCC5)c5c6c(c7[nH]c(-c8ccccc8)nc7c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCC)CCCCCC)C5=O,70,79,10,940.2859999999991
