SMILES,Reason
C1=CC2=CC(=C1)OC3=CC=C(C=C3)C(=O)C4=CC=C(C=C4)C5=CC=C(C=C5)C(=O)C6=CC=C(C=C6)OC7=CC=CC(=C7)N8C(=O)C9=C1C(=CC=C3C1=C(C=C9)C(=O)N2C3=O)C8=O,NDI core not found
CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=C4C5=C(C=C3)C(=O)N(C(=O)C5=C6C7=CC8=C9C(=CC1=C3C9=C7C5=C7C3=C(C=C3C7=C(C=C5C6=C4C2=O)C(=NC3=O)O)C2=C3C4=C(C=CC5=C4C(=C12)C(=O)N(C5=O)C1=C(C=CC=C1C(C)C)C(C)C)C(=O)N(C3=O)C1=C(C=CC=C1C(C)C)C(C)C)C(=O)N=C8O)C1=C(C=CC=C1C(C)C)C(C)C,NDI core not found
CCCCCCCCC(CCCCCC)CCCN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CCCC(CCCCCC)CCCCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CCCCCCCCCCCCCCCCCNC1=C2C3=C4C(=C1NCCCCCCCCCCCCCCCCC)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCCCCCC)SC6=CC=CC=C6S5)CCCCCCCC,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)NC7=CC=CC=C7S6)C1=O)SC8=CC=CC=C8N3,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC7=CC=CC=C7N6)C1=O)SC8=CC=CC=C8N3,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)C7=CC=C(C=C7)C(C)(C)C)SC(=C(C#N)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCCCC)CCCCCCCCCCCC)SC7=CC=CC=C7S6)C1=O)SC8=CC=CC=C8S3,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCCCC)CCCCCCCCCCCC)NC7=CC=CC=C7S6)C1=O)SC8=CC=CC=C8N3,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCCCC)CCCCCCCCCCCC)SC7=CC=CC=C7S6)C1=O)NC8=CC=CC=C8N3,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C4=C(C5=NC6=CC=CC=C6N=C25)C(=O)N(C(=O)C4=C7C(=C3C1=O)NC8=CC=CC=C8S7)CC(CCCCCCCCCC)CCCCCCCCCCCC,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCCCC)CCCCCCCCCCCC)SC7=CC=CC=C7N6)C1=O)NC8=CC=CC=C8N3,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C4=C(C5=NC6=CC=CC=C6N=C25)C(=O)N(C(=O)C4=C7C(=C3C1=O)SC8=CC=CC=C8S7)CC(CCCCCCCCCC)CCCCCCCCCCCC,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC7=CC=CC=C7S3,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC7=CC=CC=C7S6)C1=O)SC8=CC=CC=C8S3,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC7=CC8=CC=CC=C8C=C7S6)C1=O)SC9=CC1=CC=CC=C1C=C9S3,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC7=CC8=CC=CC=C8C=C7S3,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC7=C(S6)SC(=S)S7)C1=O)SC(=N3)C8=CC=CC=C8,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC7=C(S6)SC(=S)S7)C1=O)SC(=N3)C8=CC=CS8,NDI core not found
