dataset,Cx,Cy,MolFormula,Molecule_ID,SMILES,Sidechain,Source,Tx,Ty,Tz,Theta,best_objective,interaction_energy,Full_torsion_angles,optimization_success,xyz_file_path,xyz_generated,Original_MolFormula,hash,smiles_occurrence_count
NDI,-3.4911,-1.0174,C30H22N2O4_3,C30H22N2O4_3,Cc1cccc(CN2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(Cc2cccc(C)c2)C4=O)c1,Cc1cccc(C)c1,Pubchem,2.1441,-0.4674,3.1372,29.881,-129.116464,-129.11652,"[67.24, -3.435, 75.398, -14.379]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C30H22N2O4_3/C30H22N2O4_3.xyz,True,C30H22N2O4,a5c61e20a89a4e1e,1
NDI,-6.2765,-0.9722,C32H26N2O4_3,C32H26N2O4_3,Cc1cccc(CCN2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(CCc2cccc(C)c2)C4=O)c1,CCc1cccc(C)c1,Pubchem,0.938,-2.5795,3.0764,-0.117,-123.934151,-123.934146,"[46.451, 47.939, -36.426, 25.159]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C32H26N2O4_3/C32H26N2O4_3.xyz,True,C32H26N2O4,70ff1bc4920083d5,1
NDI,-1.5062,-3.0432,C32H26N2O4_4,C32H26N2O4_4,CC(CN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CC(C)c1ccccc1)C3=O)c1ccccc1,CC(C)c1ccccc1,Pubchem,3.1317,4.7363,3.139,50.191,-129.127319,-129.12729,"[-49.045, 27.325, 36.993, 43.627]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C32H26N2O4_4/C32H26N2O4_4.xyz,True,C32H26N2O4,23c0b1f748917e64,1
NDI,-5.5761,7.0783,C32H26N2O4_5,C32H26N2O4_5,Cc1ccccc1CCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCc1ccccc1C)C3=O,CCc1ccccc1C,Pubchem,-0.1552,1.4424,3.31,-15.469,-127.619866,-127.603274,"[-4.399, -88.674, -74.348, -4.216]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C32H26N2O4_5/C32H26N2O4_5.xyz,True,C32H26N2O4,ce432d3d544e6d55,1
NDI,0.542,0.7534,C34H30N2O4_4,C34H30N2O4_4,CCc1cccc(CCN2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(CCc2cccc(CC)c2)C4=O)c1,CCc1cccc(CC)c1,Pubchem,-0.3135,-1.6498,3.2066,-150.671,-125.467425,-125.467435,"[308.424, -79.311, -108.437, 68.518, 88.362, 33.682]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C34H30N2O4_4/C34H30N2O4_4.xyz,True,C34H30N2O4,c441e83607b432ec,1
NDI,-3.3722,-10,C34H30N2O4_5,C34H30N2O4_5,CCc1ccc(CCN2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(CCc2ccc(CC)cc2)C4=O)cc1,CCc1ccc(CC)cc1,Pubchem,-2.1025,-0.1265,3.3532,4.686,-136.111691,-136.111699,"[-17.907, -0.434, 89.185, -92.091, 7.191, -8.229]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C34H30N2O4_5/C34H30N2O4_5.xyz,True,C34H30N2O4,30ae1d82f04f6e93,1
NDI,-1.7994,-3.1823,C32H26N2O10_1,C32H26N2O10_1,COc1ccc(N2C(=O)c3cc(OC)c4c5c(cc(OC)c(c35)C2=O)C(=O)N(c2ccc(OC)cc2OC)C4=O)c(OC)c1,COc1cccc(OC)c1,Pubchem,5.4727,9.7754,3.2517,-141.504,-124.419696,-124.419686,"[-165.003, -42.635, -58.879, -71.435, -67.122, 100.035, -360.0, 36.436]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C32H26N2O10_1/C32H26N2O10_1.xyz,True,C32H26N2O10,146fb42d7a08dcef,1
NDI,-0.0908,-2.8683,C28H18N2O4_1,C28H18N2O4_1,Cc1ccc(N2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(c2cccc(C)c2)C4=O)cc1,Cc1ccccc1,Pubchem,0.2362,-1.9968,3.2134,-0.512,-122.169826,-122.169807,"[-7.974, 9.657]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C28H18N2O4_1/C28H18N2O4_1.xyz,True,C28H18N2O4,36f6d102d833bb63,1
NDI,-0.2829,-1.0665,C28H18N2O4_2,C28H18N2O4_2,Cc1cccc(N2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(c2ccccc2C)C4=O)c1,Cc1ccccc1,Pubchem,2.0332,1.1067,3.1089,158.258,-138.248187,-135.584676,"[-48.566, -48.419]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C28H18N2O4_2/C28H18N2O4_2.xyz,True,C28H18N2O4,5b834a54378b9f4e,1
NDI,-0.3008,5.5542,C34H30N2O4_6,C34H30N2O4_6,CCCCc1ccc(N2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(c2ccc(CCCC)cc2)C4=O)cc1,CCCCc1ccccc1,Pubchem,0.6049,0.4267,3.1704,19.091,-150.289684,-150.056871,"[-0.014, 56.962, 107.953, -21.568]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C34H30N2O4_6/C34H30N2O4_6.xyz,True,C34H30N2O4,4772d891433f10b9,1
